date,apartment,State
2004-01-01,0,MS
2004-02-01,0,MS
2004-03-01,46,MS
2004-04-01,99,MS
2004-05-01,75,MS
2004-06-01,32,MS
2004-07-01,80,MS
2004-08-01,0,MS
2004-09-01,0,MS
2004-10-01,56,MS
2004-11-01,44,MS
2004-12-01,59,MS
2005-01-01,93,MS
2005-02-01,25,MS
2005-03-01,0,MS
2005-04-01,42,MS
2005-05-01,100,MS
2005-06-01,34,MS
2005-07-01,91,MS
2005-08-01,75,MS
2005-09-01,64,MS
2005-10-01,54,MS
2005-11-01,25,MS
2005-12-01,38,MS
2006-01-01,31,MS
2006-02-01,52,MS
2006-03-01,39,MS
2006-04-01,39,MS
2006-05-01,31,MS
2006-06-01,82,MS
2006-07-01,56,MS
2006-08-01,56,MS
2006-09-01,23,MS
2006-10-01,52,MS
2006-11-01,64,MS
2006-12-01,43,MS
2007-01-01,52,MS
2007-02-01,62,MS
2007-03-01,70,MS
2007-04-01,80,MS
2007-05-01,59,MS
2007-06-01,67,MS
2007-07-01,91,MS
2007-08-01,76,MS
2007-09-01,81,MS
2007-10-01,57,MS
2007-11-01,58,MS
2007-12-01,51,MS
2008-01-01,58,MS
2008-02-01,48,MS
2008-03-01,60,MS
2008-04-01,58,MS
2008-05-01,79,MS
2008-06-01,80,MS
2008-07-01,70,MS
2008-08-01,69,MS
2008-09-01,45,MS
2008-10-01,54,MS
2008-11-01,47,MS
2008-12-01,45,MS
2009-01-01,54,MS
2009-02-01,33,MS
2009-03-01,54,MS
2009-04-01,56,MS
2009-05-01,57,MS
2009-06-01,69,MS
2009-07-01,56,MS
2009-08-01,55,MS
2009-09-01,47,MS
2009-10-01,22,MS
2009-11-01,49,MS
2009-12-01,51,MS
2010-01-01,51,MS
2010-02-01,44,MS
2010-03-01,54,MS
2010-04-01,52,MS
2010-05-01,54,MS
2010-06-01,60,MS
2010-07-01,59,MS
2010-08-01,55,MS
2010-09-01,50,MS
2010-10-01,46,MS
2010-11-01,49,MS
2010-12-01,36,MS
2011-01-01,39,MS
2011-02-01,40,MS
2011-03-01,34,MS
2011-04-01,40,MS
2011-05-01,43,MS
2011-06-01,33,MS
2011-07-01,43,MS
2011-08-01,46,MS
2011-09-01,27,MS
2011-10-01,29,MS
2011-11-01,31,MS
2011-12-01,30,MS
2012-01-01,35,MS
2012-02-01,27,MS
2012-03-01,28,MS
2012-04-01,45,MS
2012-05-01,39,MS
2012-06-01,38,MS
2012-07-01,43,MS
2012-08-01,34,MS
2012-09-01,36,MS
2012-10-01,31,MS
2012-11-01,34,MS
2012-12-01,30,MS
2013-01-01,32,MS
2013-02-01,33,MS
2013-03-01,39,MS
2013-04-01,38,MS
2013-05-01,44,MS
2013-06-01,43,MS
2013-07-01,39,MS
2013-08-01,41,MS
2013-09-01,30,MS
2013-10-01,36,MS
2013-11-01,28,MS
2013-12-01,29,MS
2014-01-01,42,MS
2014-02-01,38,MS
2014-03-01,41,MS
2014-04-01,30,MS
2014-05-01,37,MS
2014-06-01,43,MS
2014-07-01,36,MS
2014-08-01,29,MS
2014-09-01,31,MS
2014-10-01,31,MS
2014-11-01,30,MS
2014-12-01,39,MS
2015-01-01,39,MS
2015-02-01,33,MS
2015-03-01,37,MS
2015-04-01,39,MS
2015-05-01,47,MS
2015-06-01,42,MS
2015-07-01,42,MS
2015-08-01,36,MS
2015-09-01,39,MS
2015-10-01,31,MS
2015-11-01,28,MS
2015-12-01,36,MS
2016-01-01,35,MS
2016-02-01,37,MS
2016-03-01,33,MS
2016-04-01,43,MS
2016-05-01,48,MS
2016-06-01,42,MS
2016-07-01,40,MS
2016-08-01,37,MS
2016-09-01,35,MS
2016-10-01,36,MS
2016-11-01,31,MS
2016-12-01,32,MS
2017-01-01,42,MS
2017-02-01,38,MS
2017-03-01,34,MS
2017-04-01,39,MS
2017-05-01,42,MS
2017-06-01,43,MS
2017-07-01,47,MS
2017-08-01,39,MS
2017-09-01,32,MS
2017-10-01,35,MS
2017-11-01,31,MS
2017-12-01,34,MS
2018-01-01,40,MS
2018-02-01,40,MS
2018-03-01,36,MS
2018-04-01,38,MS
2018-05-01,42,MS
2018-06-01,47,MS
2018-07-01,46,MS
2018-08-01,46,MS
2018-09-01,36,MS
2018-10-01,30,MS
2018-11-01,35,MS
2018-12-01,33,MS
2019-01-01,42,MS
2019-02-01,34,MS
2019-03-01,39,MS
2019-04-01,34,MS
2019-05-01,44,MS
2019-06-01,42,MS
2019-07-01,43,MS
2019-08-01,36,MS
2019-09-01,39,MS
2019-10-01,34,MS
2019-11-01,32,MS
2019-12-01,34,MS
2020-01-01,44,MS
2020-02-01,40,MS
2020-03-01,39,MS
2020-04-01,40,MS
2020-05-01,42,MS
2020-06-01,54,MS
2020-07-01,44,MS
2020-08-01,46,MS
2020-09-01,41,MS
2020-10-01,37,MS
2020-11-01,37,MS
2020-12-01,43,MS
