date,housing,State
2004-01-01,50,IN
2004-02-01,100,IN
2004-03-01,61,IN
2004-04-01,88,IN
2004-05-01,80,IN
2004-06-01,77,IN
2004-07-01,89,IN
2004-08-01,52,IN
2004-09-01,59,IN
2004-10-01,70,IN
2004-11-01,56,IN
2004-12-01,71,IN
2005-01-01,77,IN
2005-02-01,76,IN
2005-03-01,84,IN
2005-04-01,54,IN
2005-05-01,74,IN
2005-06-01,92,IN
2005-07-01,80,IN
2005-08-01,75,IN
2005-09-01,82,IN
2005-10-01,76,IN
2005-11-01,53,IN
2005-12-01,58,IN
2006-01-01,69,IN
2006-02-01,72,IN
2006-03-01,84,IN
2006-04-01,89,IN
2006-05-01,81,IN
2006-06-01,73,IN
2006-07-01,50,IN
2006-08-01,96,IN
2006-09-01,76,IN
2006-10-01,50,IN
2006-11-01,71,IN
2006-12-01,55,IN
2007-01-01,60,IN
2007-02-01,76,IN
2007-03-01,83,IN
2007-04-01,77,IN
2007-05-01,75,IN
2007-06-01,68,IN
2007-07-01,69,IN
2007-08-01,84,IN
2007-09-01,80,IN
2007-10-01,59,IN
2007-11-01,78,IN
2007-12-01,59,IN
2008-01-01,76,IN
2008-02-01,84,IN
2008-03-01,84,IN
2008-04-01,82,IN
2008-05-01,79,IN
2008-06-01,76,IN
2008-07-01,94,IN
2008-08-01,87,IN
2008-09-01,77,IN
2008-10-01,68,IN
2008-11-01,75,IN
2008-12-01,88,IN
2009-01-01,82,IN
2009-02-01,88,IN
2009-03-01,89,IN
2009-04-01,93,IN
2009-05-01,70,IN
2009-06-01,86,IN
2009-07-01,80,IN
2009-08-01,83,IN
2009-09-01,69,IN
2009-10-01,79,IN
2009-11-01,72,IN
2009-12-01,68,IN
2010-01-01,83,IN
2010-02-01,77,IN
2010-03-01,93,IN
2010-04-01,93,IN
2010-05-01,97,IN
2010-06-01,79,IN
2010-07-01,66,IN
2010-08-01,86,IN
2010-09-01,68,IN
2010-10-01,65,IN
2010-11-01,66,IN
2010-12-01,64,IN
2011-01-01,66,IN
2011-02-01,66,IN
2011-03-01,77,IN
2011-04-01,69,IN
2011-05-01,66,IN
2011-06-01,70,IN
2011-07-01,74,IN
2011-08-01,78,IN
2011-09-01,63,IN
2011-10-01,61,IN
2011-11-01,63,IN
2011-12-01,57,IN
2012-01-01,66,IN
2012-02-01,74,IN
2012-03-01,68,IN
2012-04-01,68,IN
2012-05-01,73,IN
2012-06-01,66,IN
2012-07-01,71,IN
2012-08-01,65,IN
2012-09-01,55,IN
2012-10-01,60,IN
2012-11-01,51,IN
2012-12-01,52,IN
2013-01-01,65,IN
2013-02-01,63,IN
2013-03-01,65,IN
2013-04-01,69,IN
2013-05-01,58,IN
2013-06-01,56,IN
2013-07-01,69,IN
2013-08-01,64,IN
2013-09-01,59,IN
2013-10-01,58,IN
2013-11-01,52,IN
2013-12-01,44,IN
2014-01-01,59,IN
2014-02-01,66,IN
2014-03-01,69,IN
2014-04-01,73,IN
2014-05-01,67,IN
2014-06-01,68,IN
2014-07-01,73,IN
2014-08-01,71,IN
2014-09-01,56,IN
2014-10-01,67,IN
2014-11-01,56,IN
2014-12-01,51,IN
2015-01-01,66,IN
2015-02-01,66,IN
2015-03-01,64,IN
2015-04-01,77,IN
2015-05-01,72,IN
2015-06-01,67,IN
2015-07-01,68,IN
2015-08-01,62,IN
2015-09-01,56,IN
2015-10-01,59,IN
2015-11-01,59,IN
2015-12-01,52,IN
2016-01-01,61,IN
2016-02-01,70,IN
2016-03-01,63,IN
2016-04-01,72,IN
2016-05-01,62,IN
2016-06-01,66,IN
2016-07-01,65,IN
2016-08-01,61,IN
2016-09-01,69,IN
2016-10-01,58,IN
2016-11-01,58,IN
2016-12-01,57,IN
2017-01-01,67,IN
2017-02-01,67,IN
2017-03-01,68,IN
2017-04-01,70,IN
2017-05-01,71,IN
2017-06-01,59,IN
2017-07-01,72,IN
2017-08-01,70,IN
2017-09-01,54,IN
2017-10-01,62,IN
2017-11-01,61,IN
2017-12-01,50,IN
2018-01-01,67,IN
2018-02-01,66,IN
2018-03-01,66,IN
2018-04-01,71,IN
2018-05-01,64,IN
2018-06-01,65,IN
2018-07-01,73,IN
2018-08-01,67,IN
2018-09-01,59,IN
2018-10-01,64,IN
2018-11-01,60,IN
2018-12-01,51,IN
2019-01-01,66,IN
2019-02-01,66,IN
2019-03-01,69,IN
2019-04-01,76,IN
2019-05-01,64,IN
2019-06-01,67,IN
2019-07-01,73,IN
2019-08-01,66,IN
2019-09-01,59,IN
2019-10-01,64,IN
2019-11-01,59,IN
2019-12-01,54,IN
2020-01-01,64,IN
2020-02-01,71,IN
2020-03-01,61,IN
2020-04-01,56,IN
2020-05-01,55,IN
2020-06-01,60,IN
2020-07-01,75,IN
2020-08-01,73,IN
2020-09-01,57,IN
2020-10-01,61,IN
2020-11-01,58,IN
2020-12-01,48,IN
